LAT, LONG, EL, TIMESTAMP, TIME
40.7598339,-73.9916652,31.479,2012-02-02T19:42:41Z,1328229761.0
40.7596880,-73.9917631,32.897,2012-02-02T19:42:44Z,1328229764.0
40.7595574,-73.9918306,33.594,2012-02-02T19:42:47Z,1328229767.0
40.7594724,-73.9918624,34.651,2012-02-02T19:42:50Z,1328229770.0
40.7593915,-73.9919282,36.277,2012-02-02T19:42:52Z,1328229772.0
40.7592961,-73.9920637,37.198,2012-02-02T19:42:55Z,1328229775.0
40.7591653,-73.9921842,36.398,2012-02-02T19:42:58Z,1328229778.0
40.7590986,-73.9922391,34.384,2012-02-02T19:43:00Z,1328229780.0
40.7590414,-73.9922823,32.046,2012-02-02T19:43:02Z,1328229782.0
40.7589198,-73.9923804,29.945,2012-02-02T19:43:05Z,1328229785.0
40.7587821,-73.9925065,28.115,2012-02-02T19:43:08Z,1328229788.0
40.7587271,-73.9925817,26.007,2012-02-02T19:43:11Z,1328229791.0
40.7587271,-73.9925817,23.745,2012-02-02T19:43:13Z,1328229793.0
40.7587787,-73.9928834,22.133,2012-02-02T19:43:48Z,1328229828.0
40.7588074,-73.9929738,21.323,2012-02-02T19:43:50Z,1328229830.0
40.7588437,-73.9931258,20.945,2012-02-02T19:43:53Z,1328229833.0
40.7589113,-73.9932733,19.830,2012-02-02T19:43:56Z,1328229836.0
40.7589759,-73.9934366,16.582,2012-02-02T19:43:59Z,1328229839.0
40.7590357,-73.9936564,12.137,2012-02-02T19:44:02Z,1328229842.0
40.7590751,-73.9937822,8.956,2012-02-02T19:44:04Z,1328229844.0
40.7591247,-73.9938950,8.368,2012-02-02T19:44:06Z,1328229846.0
40.7591666,-73.9939921,9.870,2012-02-02T19:44:08Z,1328229848.0
40.7591958,-73.9940938,11.741,2012-02-02T19:44:10Z,1328229850.0
40.7592258,-73.9941781,12.684,2012-02-02T19:44:12Z,1328229852.0
40.7592528,-73.9942408,12.819,2012-02-02T19:44:15Z,1328229855.0
40.7592635,-73.9943026,12.594,2012-02-02T19:44:17Z,1328229857.0
40.7592780,-73.9944344,12.202,2012-02-02T19:44:20Z,1328229860.0
40.7592762,-73.9944943,11.769,2012-02-02T19:44:23Z,1328229863.0
40.7593066,-73.9946256,11.451,2012-02-02T19:44:26Z,1328229866.0
40.7593036,-73.9947234,11.270,2012-02-02T19:44:28Z,1328229868.0
40.7593369,-73.9949331,10.882,2012-02-02T19:44:31Z,1328229871.0
40.7593442,-73.9951689,10.090,2012-02-02T19:44:34Z,1328229874.0
40.7593865,-73.9953919,9.314,2012-02-02T19:44:36Z,1328229876.0
40.7594216,-73.9955149,9.342,2012-02-02T19:44:38Z,1328229878.0
40.7594493,-73.9955816,10.299,2012-02-02T19:44:40Z,1328229880.0
40.7594711,-73.9956392,12.040,2012-02-02T19:44:42Z,1328229882.0
40.7595368,-73.9956899,14.556,2012-02-02T19:44:45Z,1328229885.0
40.7596037,-73.9956511,17.125,2012-02-02T19:44:47Z,1328229887.0
40.7596664,-73.9956243,18.626,2012-02-02T19:44:49Z,1328229889.0
40.7598008,-73.9956494,19.080,2012-02-02T19:44:52Z,1328229892.0
40.7599001,-73.9957028,19.323,2012-02-02T19:44:55Z,1328229895.0
40.7599306,-73.9958448,20.072,2012-02-02T19:44:58Z,1328229898.0
40.7599330,-73.9961105,22.743,2012-02-02T19:45:01Z,1328229901.0
40.7599547,-73.9964252,28.468,2012-02-02T19:45:03Z,1328229903.0
40.7599672,-73.9967508,36.253,2012-02-02T19:45:06Z,1328229906.0
40.7599567,-73.9968998,45.311,2012-02-02T19:45:08Z,1328229908.0
40.7600010,-73.9970009,54.560,2012-02-02T19:45:10Z,1328229910.0
40.7601488,-73.9971924,60.846,2012-02-02T19:45:13Z,1328229913.0
40.7602552,-73.9973171,62.938,2012-02-02T19:45:15Z,1328229915.0
40.7604041,-73.9974342,60.526,2012-02-02T19:45:18Z,1328229918.0
40.7604761,-73.9975156,53.696,2012-02-02T19:45:20Z,1328229920.0
40.7605467,-73.9976091,45.909,2012-02-02T19:45:23Z,1328229923.0
40.7606207,-73.9978062,39.662,2012-02-02T19:45:26Z,1328229926.0
40.7606709,-73.9979160,33.990,2012-02-02T19:45:28Z,1328229928.0
40.7607603,-73.9980397,28.538,2012-02-02T19:45:31Z,1328229931.0
40.7608317,-73.9981247,24.206,2012-02-02T19:45:33Z,1328229933.0
40.7609134,-73.9982741,21.498,2012-02-02T19:45:36Z,1328229936.0
40.7609745,-73.9984030,19.722,2012-02-02T19:45:38Z,1328229938.0
40.7610231,-73.9985051,17.682,2012-02-02T19:45:40Z,1328229940.0
40.7610857,-73.9986366,15.339,2012-02-02T19:45:43Z,1328229943.0
40.7611342,-73.9987564,13.641,2012-02-02T19:45:45Z,1328229945.0
40.7611814,-73.9988825,12.811,2012-02-02T19:45:47Z,1328229947.0
40.7612200,-73.9989959,11.986,2012-02-02T19:45:49Z,1328229949.0
40.7612629,-73.9991264,10.868,2012-02-02T19:45:51Z,1328229951.0
40.7613310,-73.9993064,10.123,2012-02-02T19:45:54Z,1328229954.0
40.7613394,-73.9993792,9.571,2012-02-02T19:45:56Z,1328229956.0
40.7613499,-73.9994438,8.164,2012-02-02T19:45:59Z,1328229959.0
40.7614594,-73.9995965,6.155,2012-02-02T19:46:02Z,1328229962.0
40.7615313,-73.9997251,5.045,2012-02-02T19:46:04Z,1328229964.0
40.7616119,-73.9998774,5.891,2012-02-02T19:46:07Z,1328229967.0
40.7616528,-73.9999467,8.386,2012-02-02T19:46:10Z,1328229970.0
40.7617005,-73.9999712,10.957,2012-02-02T19:46:12Z,1328229972.0
40.7617442,-74.0001983,12.380,2012-02-02T19:46:15Z,1328229975.0
40.7617344,-74.0002954,12.717,2012-02-02T19:46:17Z,1328229977.0
40.7617243,-74.0004832,12.018,2012-02-02T19:46:20Z,1328229980.0
40.7617959,-74.0006519,10.382,2012-02-02T19:46:23Z,1328229983.0
40.7618337,-74.0006898,8.112,2012-02-02T19:46:26Z,1328229986.0
40.7618337,-74.0006898,5.594,2012-02-02T19:47:21Z,1328230041.0
40.7621117,-74.0007476,3.656,2012-02-02T19:47:24Z,1328230044.0
40.7621641,-74.0007966,3.580,2012-02-02T19:47:28Z,1328230048.0
40.7622087,-74.0009277,6.055,2012-02-02T19:47:31Z,1328230051.0
40.7622483,-74.0010766,10.081,2012-02-02T19:47:34Z,1328230054.0
40.7622816,-74.0012269,13.230,2012-02-02T19:47:36Z,1328230056.0
40.7622539,-74.0013156,14.374,2012-02-02T19:47:38Z,1328230058.0
40.7621856,-74.0014546,14.246,2012-02-02T19:47:41Z,1328230061.0
40.7621073,-74.0015703,13.153,2012-02-02T19:47:44Z,1328230064.0
40.7619968,-74.0016811,11.124,2012-02-02T19:47:47Z,1328230067.0
40.7618966,-74.0017641,9.221,2012-02-02T19:47:49Z,1328230069.0
40.7617487,-74.0018724,8.319,2012-02-02T19:47:52Z,1328230072.0
